Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
"1 BHK Flat  for Rent in Jaibharath Nagar, Bangalore","₹23,000",Furnished,1,1000 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹18,000",Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sector 5th HSR Layout, Bangalore","₹25,000",Semi-Furnished,1,650 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Suryanagar, Bangalore","₹7,500",Unfurnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Basavanapura Krishnarajapura, Bangalore","₹38,000",Semi-Furnished,1,454 sqft,Family,Immediately
"1 BHK Flat  for Rent in Amrita Nagar, Bangalore","₹22,000",Furnished,1,430 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Immadihalli Main Road, Bangalore","₹16,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹11,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Stage 2 Indiranagar, Bangalore","₹26,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹16,000",Semi-Furnished,1,200 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹28,000",Semi-Furnished,1,638 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹27,000",Semi-Furnished,1,638 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Stage 2nd BTM Layout, Bangalore","₹16,500",Semi-Furnished,1,950 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sector 3 HSR Layout, Bangalore","₹25,000",Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹16,000",Semi-Furnished,1,200 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sector 3 HSR Layout, Bangalore","₹18,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Green Glen Layout, Bellandur, Bangalore","₹28,000",Semi-Furnished,1,Immediately,Bachelors/Family,Same Premise
"1 BHK Flat  for Rent in Bagalur Main Road, Bangalore","₹24,000",Furnished,1,4200 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹20,000",Semi-Furnished,1,200 sqft,Bachelors,Immediately
